"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_yaml_json_csv_loading","tests.framework","2026-09-11","passed","2026-09-11","TestData","test_data_and_api_client","",""
"","0","test_main_config_loads","tests.framework","2026-09-11","passed","2026-09-11","TestConfiguration","test_config","",""
"","732","Login rejected: wrong_password","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","2","test_each_environment_file_loads[local]","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","8","test_json_body_verbs[post]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","14","first_name boundary: special_characters","tests.api.profile","2026-09-11","passed","2026-09-11","TestProfileBoundary","test_profile_boundary_api","",""
"","13","first_name boundary: min_length_1","tests.api.profile","2026-09-11","passed","2026-09-11","TestProfileBoundary","test_profile_boundary_api","",""
"","0","test_log_context_is_injected","tests.framework","2026-09-11","passed","2026-09-11","TestLogging","test_logging_and_masking","",""
"","785","User created via API can log in via UI and sees API data","tests.e2e.api_to_ui","2026-09-11","passed","2026-09-11","TestApiSetupUiVerify","test_api_setup_ui_verify","",""
"","28","test_all_verbs_and_auth_header","tests.framework","2026-09-11","passed","2026-09-11","TestApiClient","test_data_and_api_client","",""
"","7","test_status_codes[409]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","4","Login rejected: missing_email","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","9","GET profile honours its contract","tests.api.contract","2026-09-11","passed","2026-09-11","TestProfileContract","test_profile_contract_api","",""
"","3","Missing token is rejected with 401","tests.api.negative","2026-09-11","passed","2026-09-11","TestProfileAuthNegative","test_profile_auth_negative_api","",""
"","8","Authenticated user can read own profile","tests.api.profile","2026-09-11","passed","2026-09-11","TestGetProfile","test_profile_api","",""
"","293","User can edit first name and zip code","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","8","test_get_with_query","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","14","Update profile and verify with a follow-up GET","tests.api.profile","2026-09-11","passed","2026-09-11","TestUpdateProfile","test_profile_api","",""
"POST <AUTH_ENDPOINT> with a valid test user; expect 200 + token payload.","5","Valid credentials return an access token","tests.api.auth","2026-09-11","passed","2026-09-11","TestLoginApi","test_login_api","",""
"","1306","Home page has no console errors on load","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"","1","test_metadata_roundtrip","tests.framework","2026-09-11","passed","2026-09-11","TestExecutionManager","test_execution_and_artifacts","",""
"","821","New user can create an account","tests.ui.auth","2026-09-11","passed","2026-09-11","TestSignupUi","test_signup_ui","",""
"","1775","Valid user can sign in and sees the profile","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","4","Login rejected: wrong_password","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","128","Profile page shows the user's data","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","4","Error response matches error_schema.json","tests.api.schema","2026-09-11","passed","2026-09-11","TestSchemas","test_schema_validation_api","",""
"","3275","Duplicate email is rejected","tests.ui.auth","2026-09-11","passed","2026-09-11","TestSignupUi","test_signup_ui","",""
"","5","Login rejected: empty_payload","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","313","Login rejected: unknown_user","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","20","test_json_body_verbs[put]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","7","test_status_codes[400]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","7","test_basic_auth","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","1224","page.route can simulate a backend failure","tests.ui.content","2026-09-11","passed","2026-09-11","TestMockedUi","test_mocked_ui","",""
"","1","test_factory_generates_unique_predictable_data","tests.framework","2026-09-11","passed","2026-09-11","TestData","test_data_and_api_client","",""
"","4","Mocked profile passes schema + validator chain","tests.api.mocked","2026-09-11","passed","2026-09-11","TestMockedProfile","test_mocked_profile_api","",""
"","2","test_staging_blocks_destructive_only","tests.framework","2026-09-11","passed","2026-09-11","TestSafetyGuard","test_browser_and_devices","",""
"","1","test_schema_loading","tests.framework","2026-09-11","passed","2026-09-11","TestData","test_data_and_api_client","",""
"","3","test_local_allows_everything","tests.framework","2026-09-11","passed","2026-09-11","TestSafetyGuard","test_browser_and_devices","",""
"","1","test_artifact_policies_are_valid","tests.framework","2026-09-11","passed","2026-09-11","TestConfiguration","test_config","",""
"","2","test_each_environment_file_loads[staging]","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","1","test_free_text_is_masked[cookie: session=abcdef123456]","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","4","Login rejected: unknown_user","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","7","test_status_codes[404]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","1523","External link opens in a new tab","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"","4","TokenManager caches the token and reuses it","tests.api.auth","2026-09-11","passed","2026-09-11","TestLoginApi","test_login_api","",""
"","0","test_headers_masking","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","1261","page.route serves a mocked JSON payload to the browser","tests.ui.content","2026-09-11","passed","2026-09-11","TestMockedUi","test_mocked_ui","",""
"","5","Malformed JSON body is rejected with 400","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","3","Content endpoint meets response-time threshold","tests.api.content","2026-09-11","passed","2026-09-11","TestContentApi","test_content_api","",""
"","3041","Expected header links are present","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","1","test_workers_share_controller_dir","tests.framework","2026-09-11","passed","2026-09-11","TestExecutionManager","test_execution_and_artifacts","",""
"","3157","Navigate to sign-in page from home","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","1","test_json_artifacts_are_masked","tests.framework","2026-09-11","passed","2026-09-11","TestArtifactManager","test_execution_and_artifacts","",""
"","5","Login response satisfies the auth contract","tests.api.auth","2026-09-11","passed","2026-09-11","TestLoginApi","test_login_api","",""
"","1801","Signed-in user can sign out","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLogoutUi","test_login_ui","",""
"","4","Invalid token is rejected with 401","tests.api.negative","2026-09-11","passed","2026-09-11","TestProfileAuthNegative","test_profile_auth_negative_api","",""
"","1243","page.route can simulate a backend failure","tests.ui.content","2026-09-11","passed","2026-09-11","TestMockedUi","test_mocked_ui","",""
"","622","New user can create an account","tests.ui.auth","2026-09-11","passed","2026-09-11","TestSignupUi","test_signup_ui","",""
"","6","Very large payload does not crash the endpoint","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","0","test_masking_can_be_disabled","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","3020","Expected header links are present","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","0","test_free_text_is_masked[{""password"": ""hunter2""}]","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","1019","Create (API) -> login (UI) -> edit (UI) -> verify (API) -> logout (UI) -> re-login blocked","tests.e2e.full_flows","2026-09-11","passed","2026-09-11","TestFullProfileFlow","test_full_profile_flow","",""
"","4","Login rejected: missing_password","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","6","test_status_codes[401]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","1140","page.route can simulate a backend failure","tests.ui.content","2026-09-11","passed","2026-09-11","TestMockedUi","test_mocked_ui","",""
"","4984","Configured pages respond and render a heading","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","0","test_free_text_is_masked[api_key=""AKIA1234567890""]","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","1229","page.route serves a mocked JSON payload to the browser","tests.ui.content","2026-09-11","passed","2026-09-11","TestMockedUi","test_mocked_ui","",""
"","439","Login rejected: unknown_user","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","1","test_devices_yaml_lists_required_devices","tests.framework","2026-09-11","passed","2026-09-11","TestDevices","test_browser_and_devices","",""
"","1485","External link opens in a new tab","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"","1","test_unknown_device_error","tests.framework","2026-09-11","passed","2026-09-11","TestDevices","test_browser_and_devices","",""
"","2","test_placeholder_detection","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","19","first_name boundary: empty_value","tests.api.profile","2026-09-11","passed","2026-09-11","TestProfileBoundary","test_profile_boundary_api","",""
"","0","test_sensitive_key_detection","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","4","Login rejected: empty_strings","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","0","test_active_environment_matches_env_variable","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","1","test_schema_validator_lists_all_problems","tests.framework","2026-09-11","passed","2026-09-11","TestValidators","test_data_and_api_client","",""
"","540","Login rejected: wrong_password","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","4","Mocked schema violation is reported with field paths","tests.api.mocked","2026-09-11","passed","2026-09-11","TestMockedProfile","test_mocked_profile_api","",""
"","85","Profile page shows the user's data","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","0","test_artifact_names_are_unique_and_descriptive","tests.framework","2026-09-11","passed","2026-09-11","TestArtifactManager","test_execution_and_artifacts","",""
"","36","test_status_codes[204]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","480","Login rejected: unknown_user","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","7","test_status_codes[201]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","679","Login rejected: wrong_password","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","4763","Configured pages respond and render a heading","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","3209","Navigate to sign-in page from home","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","9","TokenManager can force a fresh login","tests.api.auth","2026-09-11","passed","2026-09-11","TestLoginApi","test_login_api","",""
"","10","Partial update keeps other fields","tests.api.profile","2026-09-11","passed","2026-09-11","TestUpdateProfile","test_profile_api","",""
"","1738","Signed-in user can sign out","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLogoutUi","test_login_ui","",""
"","4","Content list returns items with caching headers","tests.api.content","2026-09-11","passed","2026-09-11","TestContentApi","test_content_api","",""
"","0","test_parametrize_cases_and_ids","tests.framework","2026-09-11","passed","2026-09-11","TestData","test_data_and_api_client","",""
"","662","Valid user can sign in and sees the profile","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","2","test_each_environment_file_loads[prod]","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","1140","page.route serves a mocked JSON payload to the browser","tests.ui.content","2026-09-11","passed","2026-09-11","TestMockedUi","test_mocked_ui","",""
"Opens the base URL, accepts cookies, verifies landmarks and takes a screenshot.","165","Home page loads with header, heading and footer","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"","14","first_name boundary: very_long_1000","tests.api.profile","2026-09-11","passed","2026-09-11","TestProfileBoundary","test_profile_boundary_api","",""
"","0","test_safe_name","tests.framework","2026-09-11","passed","2026-09-11","TestArtifactManager","test_execution_and_artifacts","",""
"","1","test_api_exchange_saved","tests.framework","2026-09-11","passed","2026-09-11","TestArtifactManager","test_execution_and_artifacts","",""
"","7","test_status_codes[500]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","4","Mocked 429 / 503 are surfaced (not swallowed)","tests.api.mocked","2026-09-11","passed","2026-09-11","TestMockedProfile","test_mocked_profile_api","",""
"","3745","Duplicate email is rejected","tests.ui.auth","2026-09-11","passed","2026-09-11","TestSignupUi","test_signup_ui","",""
"","9","test_device_options_resolve","tests.framework","2026-09-11","passed","2026-09-11","TestDevices","test_browser_and_devices","",""
"","3","test_env_override_changes_value","tests.framework","2026-09-11","passed","2026-09-11","TestConfiguration","test_config","",""
"","0","test_nested_dict_masking","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","15","first_name boundary: max_length_50","tests.api.profile","2026-09-11","passed","2026-09-11","TestProfileBoundary","test_profile_boundary_api","",""
"","0","test_runtime_context_reflects_options","tests.framework","2026-09-11","passed","2026-09-11","TestDevices","test_browser_and_devices","",""
"","86","Profile page shows the user's data","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","1501","External link opens in a new tab","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"","860","New user can create an account","tests.ui.auth","2026-09-11","passed","2026-09-11","TestSignupUi","test_signup_ui","",""
"","10","test_status_codes[422]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"Opens the base URL, accepts cookies, verifies landmarks and takes a screenshot.","107","Home page loads with header, heading and footer","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"","113","Profile requires authentication","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","346","User can edit first name and zip code","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","0","test_get_environment_singleton","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","0","test_free_text_is_masked[password=SuperSecret123]","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","0","test_unknown_environment_rejected","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","0","test_free_text_is_masked[Authorization: Bearer abcdefghijklmnopqrstuvwxyz]","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","656","Profile edited in UI is persisted in the backend","tests.e2e.ui_to_api","2026-09-11","passed","2026-09-11","TestUiUpdateApiVerify","test_ui_update_api_verify","",""
"","603","test_bearer_auth_required","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","1449","Valid user can sign in and sees the profile","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLoginUi","test_login_ui","",""
"","38","test_transport_error_is_explicit","tests.framework","2026-09-11","passed","2026-09-11","TestApiClient","test_data_and_api_client","",""
"","1368","Home page has no console errors on load","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"Opens the base URL, accepts cookies, verifies landmarks and takes a screenshot.","174","Home page loads with header, heading and footer","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"","4","Unsupported HTTP method on login endpoint","tests.api.negative","2026-09-11","passed","2026-09-11","TestLoginNegative","test_login_negative_api","",""
"","8","test_json_body_verbs[patch]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","4","test_path_params_query_and_json","tests.framework","2026-09-11","passed","2026-09-11","TestApiClient","test_data_and_api_client","",""
"","0","test_free_text_is_masked[eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxIn0.abcDEFghiJKLmnoPQRstuVWXyz]","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","4","Unknown field is rejected","tests.api.profile","2026-09-11","passed","2026-09-11","TestUpdateProfile","test_profile_api","",""
"","1","test_dotted_get_with_default","tests.framework","2026-09-11","passed","2026-09-11","TestConfiguration","test_config","",""
"","0","test_curl_conversion","tests.framework","2026-09-11","passed","2026-09-11","TestApiClient","test_data_and_api_client","",""
"","1","test_new_executions_never_overwrite","tests.framework","2026-09-11","passed","2026-09-11","TestExecutionManager","test_execution_and_artifacts","",""
"","96","test_form_and_multipart","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","411","Profile updated via API is reflected in the UI","tests.e2e.api_to_ui","2026-09-11","passed","2026-09-11","TestApiSetupUiVerify","test_api_setup_ui_verify","",""
"","2","test_each_environment_file_loads[qa]","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","3","test_prod_blocks_non_read_only","tests.framework","2026-09-11","passed","2026-09-11","TestSafetyGuard","test_browser_and_devices","",""
"","0","test_free_text_is_masked[token: ""abc.def.ghi""]","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","4","Mocked 429 / 503 are surfaced (not swallowed)","tests.api.mocked","2026-09-11","passed","2026-09-11","TestMockedProfile","test_mocked_profile_api","",""
"","3228","Navigate to sign-in page from home","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","0","test_free_text_is_masked[{""refresh_token"": ""r-1234567890""}]","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","6","test_status_codes[403]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
"","3489","Duplicate email is rejected","tests.ui.auth","2026-09-11","passed","2026-09-11","TestSignupUi","test_signup_ui","",""
"","3","Update without token is rejected","tests.api.negative","2026-09-11","passed","2026-09-11","TestProfileAuthNegative","test_profile_auth_negative_api","",""
"","0","test_url_query_masking","tests.framework","2026-09-11","passed","2026-09-11","TestMasking","test_logging_and_masking","",""
"","1018","test_status_codes[429]","tests.api.content","2026-09-11","passed","2026-09-11","TestExamplePublicApi","test_example_public_api","",""
